Solution #, n, T, alpha, beta, l_0
1957, 5.700000, 619.848793, 0.464844, 0.535156, -0.000000
1958, 5.700000, 619.848793, 0.464600, 0.535400, -0.000000
1959, 5.700000, 619.848793, 0.464355, 0.535645, -0.000000
1960, 5.700000, 619.848793, 0.464111, 0.535889, -0.000000
1961, 5.700000, 619.848793, 0.463867, 0.536133, -0.000000
1962, 5.700000, 619.848793, 0.040283, 0.959717, -0.070068
1963, 5.700000, 619.848793, 0.040039, 0.959961, -0.070068
1964, 5.700000, 619.848793, 0.039795, 0.960205, -0.070068
1965, 5.700000, 619.848793, 0.039795, 0.960205, -0.070312
1966, 5.700000, 619.848793, 0.039551, 0.960449, -0.070312
1967, 5.800000, 621.149753, -0.000244, 0.999756, -0.072754
1968, 5.800000, 621.149753, -0.000244, 0.999756, -0.072510
1969, 5.800000, 621.149753, 0.045166, 0.954834, -0.070068
1970, 5.800000, 621.149753, 0.045410, 0.954590, -0.070068
1971, 5.800000, 621.149753, 0.045410, 0.954590, -0.069824
1972, 5.800000, 621.149753, 0.045654, 0.954346, -0.069824
1973, 5.800000, 621.149753, 0.463867, 0.536133, 0.000000
1974, 5.800000, 621.149753, 0.464111, 0.535889, 0.000000
1975, 5.800000, 621.149753, 0.464355, 0.535645, 0.000000
1976, 5.800000, 621.149753, 0.464600, 0.535400, 0.000000
1977, 5.800000, 621.149753, 0.464844, 0.535156, 0.000000
1978, 5.800000, 621.149753, 0.465088, 0.534912, 0.000000
1979, 5.800000, 621.149753, 0.465332, 0.534668, 0.000000
1980, 5.800000, 621.149753, 0.465576, 0.534424, 0.000000
1981, 5.800000, 621.149753, 0.465820, 0.534180, 0.000000
1982, 5.800000, 621.149753, 0.466553, 0.533447, 0.000244
1983, 5.800000, 621.149753, 0.466797, 0.533203, 0.000244
1984, 5.800000, 621.149753, 0.936279, 0.063721, 0.062012
1985, 5.800000, 621.149753, 0.936523, 0.063477, 0.062012
1986, 5.800000, 621.149753, 0.936768, 0.063232, 0.062012
1987, 5.800000, 621.149753, 0.936768, 0.063232, 0.062256
1988, 5.800000, 621.149753, 0.937012, 0.062988, 0.062256
1989, 5.800000, 621.149753, 0.999756, -0.000244, 0.063232
1990, 5.800000, 621.149753, 0.999756, -0.000244, 0.062988
1991, 5.800000, 621.149753, 0.937012, 0.062988, 0.062256
1992, 5.800000, 621.149753, 0.936768, 0.063232, 0.062256
1993, 5.800000, 621.149753, 0.936768, 0.063232, 0.062012
1994, 5.800000, 621.149753, 0.936523, 0.063477, 0.062012
1995, 5.800000, 621.149753, 0.936279, 0.063721, 0.062012
1996, 5.800000, 621.149753, 0.466797, 0.533203, 0.000244
1997, 5.800000, 621.149753, 0.466553, 0.533447, 0.000244
1998, 5.800000, 621.149753, 0.465820, 0.534180, -0.000000
1999, 5.800000, 621.149753, 0.465576, 0.534424, -0.000000
2000, 5.800000, 621.149753, 0.465332, 0.534668, -0.000000
2001, 5.800000, 621.149753, 0.465088, 0.534912, -0.000000
2002, 5.800000, 621.149753, 0.464844, 0.535156, -0.000000
2003, 5.800000, 621.149753, 0.464600, 0.535400, -0.000000
2004, 5.800000, 621.149753, 0.464355, 0.535645, -0.000000
2005, 5.800000, 621.149753, 0.464111, 0.535889, -0.000000
2006, 5.800000, 621.149753, 0.463867, 0.536133, -0.000000
2007, 5.800000, 621.149753, 0.045654, 0.954346, -0.069824
2008, 5.800000, 621.149753, 0.045410, 0.954590, -0.069824
2009, 5.800000, 621.149753, 0.045410, 0.954590, -0.070068
2010, 5.800000, 621.149753, 0.045166, 0.954834, -0.070068
2011, 5.900000, 622.409205, -0.000244, 0.999756, -0.072754
2012, 5.900000, 622.409205, -0.000244, 0.999756, -0.072510
2013, 5.900000, 622.409205, 0.050537, 0.949463, -0.069824
2014, 5.900000, 622.409205, 0.050781, 0.949219, -0.069824
2015, 5.900000, 622.409205, 0.050781, 0.949219, -0.069580
2016, 5.900000, 622.409205, 0.051025, 0.948975, -0.069580
2017, 5.900000, 622.409205, 0.051270, 0.948730, -0.069580
2018, 5.900000, 622.409205, 0.463867, 0.536133, 0.000000
2019, 5.900000, 622.409205, 0.464111, 0.535889, 0.000000
2020, 5.900000, 622.409205, 0.464355, 0.535645, 0.000000
2021, 5.900000, 622.409205, 0.464600, 0.535400, 0.000000
2022, 5.900000, 622.409205, 0.464844, 0.535156, 0.000000
2023, 5.900000, 622.409205, 0.465088, 0.534912, 0.000000
2024, 5.900000, 622.409205, 0.465332, 0.534668, 0.000000
2025, 5.900000, 622.409205, 0.465576, 0.534424, 0.000000
2026, 5.900000, 622.409205, 0.465820, 0.534180, 0.000000
2027, 5.900000, 622.409205, 0.466553, 0.533447, 0.000244
2028, 5.900000, 622.409205, 0.466797, 0.533203, 0.000244
2029, 5.900000, 622.409205, 0.930176, 0.069824, 0.061768
2030, 5.900000, 622.409205, 0.930420, 0.069580, 0.061768
2031, 5.900000, 622.409205, 0.930664, 0.069336, 0.061768
2032, 5.900000, 622.409205, 0.930664, 0.069336, 0.062012
2033, 5.900000, 622.409205, 0.930908, 0.069092, 0.062012
2034, 5.900000, 622.409205, 0.999756, -0.000244, 0.062988
2035, 5.900000, 622.409205, 0.999756, -0.000244, 0.062744
2036, 5.900000, 622.409205, 0.930908, 0.069092, 0.062012
2037, 5.900000, 622.409205, 0.930664, 0.069336, 0.062012
2038, 5.900000, 622.409205, 0.930664, 0.069336, 0.061768
2039, 5.900000, 622.409205, 0.930420, 0.069580, 0.061768
2040, 5.900000, 622.409205, 0.930176, 0.069824, 0.061768
2041, 5.900000, 622.409205, 0.466797, 0.533203, 0.000244
2042, 5.900000, 622.409205, 0.466553, 0.533447, 0.000244
2043, 5.900000, 622.409205, 0.465820, 0.534180, -0.000000
2044, 5.900000, 622.409205, 0.465576, 0.534424, -0.000000
2045, 5.900000, 622.409205, 0.465332, 0.534668, -0.000000
2046, 5.900000, 622.409205, 0.465088, 0.534912, -0.000000
2047, 5.900000, 622.409205, 0.464844, 0.535156, -0.000000
2048, 5.900000, 622.409205, 0.464600, 0.535400, -0.000000
2049, 5.900000, 622.409205, 0.464355, 0.535645, -0.000000
2050, 5.900000, 622.409205, 0.464111, 0.535889, -0.000000
2051, 5.900000, 622.409205, 0.463867, 0.536133, -0.000000
2052, 5.900000, 622.409205, 0.051270, 0.948730, -0.069580
2053, 5.900000, 622.409205, 0.051025, 0.948975, -0.069580
2054, 5.900000, 622.409205, 0.050781, 0.949219, -0.069580
2055, 5.900000, 622.409205, 0.050781, 0.949219, -0.069824
2056, 5.900000, 622.409205, 0.050537, 0.949463, -0.069824
2057, 6.000000, 623.629103, -0.000244, 0.999756, -0.072754
2058, 6.000000, 623.629103, -0.000244, 0.999756, -0.072510
2059, 6.000000, 623.629103, 0.055908, 0.944092, -0.069580
2060, 6.000000, 623.629103, 0.056152, 0.943848, -0.069580
2061, 6.000000, 623.629103, 0.056152, 0.943848, -0.069336
2062, 6.000000, 623.629103, 0.056396, 0.943604, -0.069336
2063, 6.000000, 623.629103, 0.056641, 0.943359, -0.069092
2064, 6.000000, 623.629103, 0.056885, 0.943115, -0.069092
2065, 6.000000, 623.629103, 0.463867, 0.536133, 0.000000
2066, 6.000000, 623.629103, 0.464111, 0.535889, 0.000000
2067, 6.000000, 623.629103, 0.464355, 0.535645, 0.000000
2068, 6.000000, 623.629103, 0.464600, 0.535400, 0.000000
2069, 6.000000, 623.629103, 0.464844, 0.535156, 0.000000
2070, 6.000000, 623.629103, 0.465088, 0.534912, 0.000000
2071, 6.000000, 623.629103, 0.465332, 0.534668, 0.000000
2072, 6.000000, 623.629103, 0.465576, 0.534424, 0.000000
2073, 6.000000, 623.629103, 0.465820, 0.534180, 0.000000
2074, 6.000000, 623.629103, 0.466553, 0.533447, 0.000244
2075, 6.000000, 623.629103, 0.466797, 0.533203, 0.000244
2076, 6.000000, 623.629103, 0.924316, 0.075684, 0.061523
2077, 6.000000, 623.629103, 0.924561, 0.075439, 0.061523
2078, 6.000000, 623.629103, 0.924561, 0.075439, 0.061768
2079, 6.000000, 623.629103, 0.924805, 0.075195, 0.061768
2080, 6.000000, 623.629103, 0.925049, 0.074951, 0.061768
2081, 6.000000, 623.629103, 0.999756, -0.000244, 0.062500
2082, 6.000000, 623.629103, 0.999756, -0.000244, 0.062256
2083, 6.000000, 623.629103, 0.925049, 0.074951, 0.061768
2084, 6.000000, 623.629103, 0.924805, 0.075195, 0.061768
2085, 6.000000, 623.629103, 0.924561, 0.075439, 0.061768
2086, 6.000000, 623.629103, 0.924561, 0.075439, 0.061523
2087, 6.000000, 623.629103, 0.924316, 0.075684, 0.061523
2088, 6.000000, 623.629103, 0.466797, 0.533203, 0.000244
2089, 6.000000, 623.629103, 0.466553, 0.533447, 0.000244
2090, 6.000000, 623.629103, 0.465820, 0.534180, -0.000000
2091, 6.000000, 623.629103, 0.465576, 0.534424, -0.000000
2092, 6.000000, 623.629103, 0.465332, 0.534668, -0.000000
2093, 6.000000, 623.629103, 0.465088, 0.534912, -0.000000
2094, 6.000000, 623.629103, 0.464844, 0.535156, -0.000000
2095, 6.000000, 623.629103, 0.464600, 0.535400, -0.000000
2096, 6.000000, 623.629103, 0.464355, 0.535645, -0.000000
2097, 6.000000, 623.629103, 0.464111, 0.535889, -0.000000
2098, 6.000000, 623.629103, 0.463867, 0.536133, -0.000000
2099, 6.000000, 623.629103, 0.056885, 0.943115, -0.069092
2100, 6.000000, 623.629103, 0.056641, 0.943359, -0.069092
2101, 6.000000, 623.629103, 0.056396, 0.943604, -0.069336
2102, 6.000000, 623.629103, 0.056152, 0.943848, -0.069336
2103, 6.000000, 623.629103, 0.056152, 0.943848, -0.069580
2104, 6.000000, 623.629103, 0.055908, 0.944092, -0.069580
2105, 6.100000, 624.811278, -0.000244, 0.999756, -0.072754
2106, 6.100000, 624.811278, -0.000244, 0.999756, -0.072510
2107, 6.100000, 624.811278, 0.061279, 0.938721, -0.069336
2108, 6.100000, 624.811278, 0.061523, 0.938477, -0.069092
2109, 6.100000, 624.811278, 0.061768, 0.938232, -0.069092
2110, 6.100000, 624.811278, 0.061768, 0.938232, -0.068848
2111, 6.100000, 624.811278, 0.062012, 0.937988, -0.068848
2112, 6.100000, 624.811278, 0.463867, 0.536133, 0.000000
2113, 6.100000, 624.811278, 0.464111, 0.535889, 0.000000
2114, 6.100000, 624.811278, 0.464355, 0.535645, 0.000000
2115, 6.100000, 624.811278, 0.464600, 0.535400, 0.000000
2116, 6.100000, 624.811278, 0.464844, 0.535156, 0.000000
2117, 6.100000, 624.811278, 0.465088, 0.534912, 0.000000
2118, 6.100000, 624.811278, 0.465332, 0.534668, 0.000000
2119, 6.100000, 624.811278, 0.465576, 0.534424, 0.000000
2120, 6.100000, 624.811278, 0.465820, 0.534180, 0.000000
2121, 6.100000, 624.811278, 0.466553, 0.533447, 0.000244
2122, 6.100000, 624.811278, 0.466797, 0.533203, 0.000244
2123, 6.100000, 624.811278, 0.918213, 0.081787, 0.061279
2124, 6.100000, 624.811278, 0.918457, 0.081543, 0.061279
2125, 6.100000, 624.811278, 0.918701, 0.081299, 0.061279
2126, 6.100000, 624.811278, 0.918457, 0.081543, 0.061523
2127, 6.100000, 624.811278, 0.918701, 0.081299, 0.061523
2128, 6.100000, 624.811278, 0.918945, 0.081055, 0.061523
2129, 6.100000, 624.811278, 0.999756, -0.000244, 0.062256
2130, 6.100000, 624.811278, 0.999756, -0.000244, 0.062012
2131, 6.100000, 624.811278, 0.918945, 0.081055, 0.061523
2132, 6.100000, 624.811278, 0.918701, 0.081299, 0.061523
2133, 6.100000, 624.811278, 0.918457, 0.081543, 0.061523
2134, 6.100000, 624.811278, 0.918701, 0.081299, 0.061279
2135, 6.100000, 624.811278, 0.918457, 0.081543, 0.061279
2136, 6.100000, 624.811278, 0.918213, 0.081787, 0.061279
2137, 6.100000, 624.811278, 0.466797, 0.533203, 0.000244
2138, 6.100000, 624.811278, 0.466553, 0.533447, 0.000244
2139, 6.100000, 624.811278, 0.465820, 0.534180, -0.000000
2140, 6.100000, 624.811278, 0.465576, 0.534424, -0.000000
2141, 6.100000, 624.811278, 0.465332, 0.534668, -0.000000
2142, 6.100000, 624.811278, 0.465088, 0.534912, -0.000000
2143, 6.100000, 624.811278, 0.464844, 0.535156, -0.000000
2144, 6.100000, 624.811278, 0.464600, 0.535400, -0.000000
2145, 6.100000, 624.811278, 0.464355, 0.535645, -0.000000
2146, 6.100000, 624.811278, 0.464111, 0.535889, -0.000000
2147, 6.100000, 624.811278, 0.463867, 0.536133, -0.000000
2148, 6.100000, 624.811278, 0.062012, 0.937988, -0.068848
2149, 6.100000, 624.811278, 0.061768, 0.938232, -0.068848
2150, 6.100000, 624.811278, 0.061768, 0.938232, -0.069092
2151, 6.100000, 624.811278, 0.061523, 0.938477, -0.069092
2152, 6.100000, 624.811278, 0.061279, 0.938721, -0.069336
2153, 6.200000, 625.957453, -0.000244, 0.999756, -0.072510
2154, 6.200000, 625.957453, -0.000244, 0.999756, -0.072266
2155, 6.200000, 625.957453, 0.066406, 0.933594, -0.069092
2156, 6.200000, 625.957453, 0.066650, 0.933350, -0.069092
2157, 6.200000, 625.957453, 0.066650, 0.933350, -0.068848
2158, 6.200000, 625.957453, 0.066895, 0.933105, -0.068848
2159, 6.200000, 625.957453, 0.066895, 0.933105, -0.068604
2160, 6.200000, 625.957453, 0.067139, 0.932861, -0.068604
2161, 6.200000, 625.957453, 0.463867, 0.536133, 0.000000
2162, 6.200000, 625.957453, 0.464111, 0.535889, 0.000000
2163, 6.200000, 625.957453, 0.464355, 0.535645, 0.000000
2164, 6.200000, 625.957453, 0.464600, 0.535400, 0.000000
2165, 6.200000, 625.957453, 0.464844, 0.535156, 0.000000
2166, 6.200000, 625.957453, 0.465088, 0.534912, 0.000000
2167, 6.200000, 625.957453, 0.465332, 0.534668, 0.000000
2168, 6.200000, 625.957453, 0.465576, 0.534424, 0.000000
2169, 6.200000, 625.957453, 0.465820, 0.534180, 0.000000
2170, 6.200000, 625.957453, 0.466553, 0.533447, 0.000244
2171, 6.200000, 625.957453, 0.466797, 0.533203, 0.000244
2172, 6.200000, 625.957453, 0.912354, 0.087646, 0.061035
2173, 6.200000, 625.957453, 0.912598, 0.087402, 0.061035
2174, 6.200000, 625.957453, 0.912842, 0.087158, 0.061035
2175, 6.200000, 625.957453, 0.912842, 0.087158, 0.061279
2176, 6.200000, 625.957453, 0.913086, 0.086914, 0.061279
2177, 6.200000, 625.957453, 0.999756, -0.000244, 0.061768
2178, 6.200000, 625.957453, 0.999756, -0.000244, 0.061523
2179, 6.200000, 625.957453, 0.913086, 0.086914, 0.061279
2180, 6.200000, 625.957453, 0.912842, 0.087158, 0.061279
2181, 6.200000, 625.957453, 0.912842, 0.087158, 0.061035
2182, 6.200000, 625.957453, 0.912598, 0.087402, 0.061035
2183, 6.200000, 625.957453, 0.912354, 0.087646, 0.061035
2184, 6.200000, 625.957453, 0.466797, 0.533203, 0.000244
2185, 6.200000, 625.957453, 0.466553, 0.533447, 0.000244
2186, 6.200000, 625.957453, 0.465820, 0.534180, -0.000000
2187, 6.200000, 625.957453, 0.465576, 0.534424, -0.000000
2188, 6.200000, 625.957453, 0.465332, 0.534668, -0.000000
2189, 6.200000, 625.957453, 0.465088, 0.534912, -0.000000
2190, 6.200000, 625.957453, 0.464844, 0.535156, -0.000000
2191, 6.200000, 625.957453, 0.464600, 0.535400, -0.000000
2192, 6.200000, 625.957453, 0.464355, 0.535645, -0.000000
2193, 6.200000, 625.957453, 0.464111, 0.535889, -0.000000
2194, 6.200000, 625.957453, 0.463867, 0.536133, -0.000000
2195, 6.200000, 625.957453, 0.067139, 0.932861, -0.068604
2196, 6.200000, 625.957453, 0.066895, 0.933105, -0.068604
2197, 6.200000, 625.957453, 0.066895, 0.933105, -0.068848
2198, 6.200000, 625.957453, 0.066650, 0.933350, -0.068848
2199, 6.200000, 625.957453, 0.066650, 0.933350, -0.069092
2200, 6.200000, 625.957453, 0.066406, 0.933594, -0.069092
2201, 6.300000, 627.069245, -0.000244, 0.999756, -0.072510
2202, 6.300000, 627.069245, -0.000244, 0.999756, -0.072266
2203, 6.300000, 627.069245, 0.071533, 0.928467, -0.068848
2204, 6.300000, 627.069245, 0.071777, 0.928223, -0.068848
2205, 6.300000, 627.069245, 0.071777, 0.928223, -0.068604
2206, 6.300000, 627.069245, 0.072021, 0.927979, -0.068604
2207, 6.300000, 627.069245, 0.072266, 0.927734, -0.068359
2208, 6.300000, 627.069245, 0.464111, 0.535889, 0.000000
2209, 6.300000, 627.069245, 0.464355, 0.535645, 0.000000
2210, 6.300000, 627.069245, 0.464600, 0.535400, 0.000000
2211, 6.300000, 627.069245, 0.464844, 0.535156, 0.000000
2212, 6.300000, 627.069245, 0.465088, 0.534912, 0.000000
2213, 6.300000, 627.069245, 0.465332, 0.534668, 0.000000
2214, 6.300000, 627.069245, 0.465576, 0.534424, 0.000000
2215, 6.300000, 627.069245, 0.465820, 0.534180, 0.000000
2216, 6.300000, 627.069245, 0.466553, 0.533447, 0.000244
2217, 6.300000, 627.069245, 0.466797, 0.533203, 0.000244
2218, 6.300000, 627.069245, 0.906738, 0.093262, 0.060791
2219, 6.300000, 627.069245, 0.906982, 0.093018, 0.060791
2220, 6.300000, 627.069245, 0.906982, 0.093018, 0.061035
2221, 6.300000, 627.069245, 0.907227, 0.092773, 0.061035
2222, 6.300000, 627.069245, 0.999756, -0.000244, 0.061523
2223, 6.300000, 627.069245, 0.999756, -0.000244, 0.061279
2224, 6.300000, 627.069245, 0.907227, 0.092773, 0.061035
2225, 6.300000, 627.069245, 0.906982, 0.093018, 0.061035
2226, 6.300000, 627.069245, 0.906982, 0.093018, 0.060791
2227, 6.300000, 627.069245, 0.906738, 0.093262, 0.060791
2228, 6.300000, 627.069245, 0.466797, 0.533203, 0.000244
2229, 6.300000, 627.069245, 0.466553, 0.533447, 0.000244
2230, 6.300000, 627.069245, 0.465820, 0.534180, -0.000000
2231, 6.300000, 627.069245, 0.465576, 0.534424, -0.000000
2232, 6.300000, 627.069245, 0.465332, 0.534668, -0.000000
2233, 6.300000, 627.069245, 0.465088, 0.534912, -0.000000
2234, 6.300000, 627.069245, 0.464844, 0.535156, -0.000000
2235, 6.300000, 627.069245, 0.464600, 0.535400, -0.000000
2236, 6.300000, 627.069245, 0.464355, 0.535645, -0.000000
2237, 6.300000, 627.069245, 0.464111, 0.535889, -0.000000
2238, 6.300000, 627.069245, 0.072266, 0.927734, -0.068359
2239, 6.300000, 627.069245, 0.072021, 0.927979, -0.068604
2240, 6.300000, 627.069245, 0.071777, 0.928223, -0.068604
2241, 6.300000, 627.069245, 0.071777, 0.928223, -0.068848
2242, 6.300000, 627.069245, 0.071533, 0.928467, -0.068848
2243, 6.400000, 628.148176, -0.000244, 0.999756, -0.072510
2244, 6.400000, 628.148176, -0.000244, 0.999756, -0.072266
2245, 6.400000, 628.148176, 0.076660, 0.923340, -0.068604
2246, 6.400000, 628.148176, 0.076904, 0.923096, -0.068604
2247, 6.400000, 628.148176, 0.076904, 0.923096, -0.068359
2248, 6.400000, 628.148176, 0.077148, 0.922852, -0.068359
2249, 6.400000, 628.148176, 0.464111, 0.535889, 0.000000
2250, 6.400000, 628.148176, 0.464355, 0.535645, 0.000000
2251, 6.400000, 628.148176, 0.464600, 0.535400, 0.000000
2252, 6.400000, 628.148176, 0.464844, 0.535156, 0.000000
2253, 6.400000, 628.148176, 0.465088, 0.534912, 0.000000
2254, 6.400000, 628.148176, 0.465332, 0.534668, 0.000000
2255, 6.400000, 628.148176, 0.465576, 0.534424, 0.000000
2256, 6.400000, 628.148176, 0.465820, 0.534180, 0.000000
2257, 6.400000, 628.148176, 0.466553, 0.533447, 0.000244
2258, 6.400000, 628.148176, 0.466797, 0.533203, 0.000244
2259, 6.400000, 628.148176, 0.900879, 0.099121, 0.060547
2260, 6.400000, 628.148176, 0.901123, 0.098877, 0.060547
2261, 6.400000, 628.148176, 0.901367, 0.098633, 0.060547
2262, 6.400000, 628.148176, 0.901367, 0.098633, 0.060791
2263, 6.400000, 628.148176, 0.901611, 0.098389, 0.060791
2264, 6.400000, 628.148176, 0.999756, -0.000244, 0.061035
2265, 6.400000, 628.148176, 0.999756, -0.000244, 0.060791
2266, 6.400000, 628.148176, 0.901611, 0.098389, 0.060791
2267, 6.400000, 628.148176, 0.901367, 0.098633, 0.060791
2268, 6.400000, 628.148176, 0.901367, 0.098633, 0.060547
2269, 6.400000, 628.148176, 0.901123, 0.098877, 0.060547
2270, 6.400000, 628.148176, 0.900879, 0.099121, 0.060547
2271, 6.400000, 628.148176, 0.466797, 0.533203, 0.000244
2272, 6.400000, 628.148176, 0.466553, 0.533447, 0.000244
2273, 6.400000, 628.148176, 0.465820, 0.534180, -0.000000
2274, 6.400000, 628.148176, 0.465576, 0.534424, -0.000000
2275, 6.400000, 628.148176, 0.465332, 0.534668, -0.000000
2276, 6.400000, 628.148176, 0.465088, 0.534912, -0.000000
2277, 6.400000, 628.148176, 0.464844, 0.535156, -0.000000
2278, 6.400000, 628.148176, 0.464600, 0.535400, -0.000000
2279, 6.400000, 628.148176, 0.464355, 0.535645, -0.000000
2280, 6.400000, 628.148176, 0.464111, 0.535889, -0.000000
2281, 6.400000, 628.148176, 0.077148, 0.922852, -0.068359
2282, 6.400000, 628.148176, 0.076904, 0.923096, -0.068359
2283, 6.400000, 628.148176, 0.076904, 0.923096, -0.068604
2284, 6.400000, 628.148176, 0.076660, 0.923340, -0.068604
2285, 6.500000, 629.195681, -0.000244, 0.999756, -0.072266
2286, 6.500000, 629.195681, -0.000244, 0.999756, -0.072021
2287, 6.500000, 629.195681, 0.081543, 0.918457, -0.068359
2288, 6.500000, 629.195681, 0.081787, 0.918213, -0.068359
2289, 6.500000, 629.195681, 0.081787, 0.918213, -0.068115
2290, 6.500000, 629.195681, 0.082031, 0.917969, -0.068115
2291, 6.500000, 629.195681, 0.464111, 0.535889, 0.000000
2292, 6.500000, 629.195681, 0.464355, 0.535645, 0.000000
2293, 6.500000, 629.195681, 0.464600, 0.535400, 0.000000
2294, 6.500000, 629.195681, 0.464844, 0.535156, 0.000000
2295, 6.500000, 629.195681, 0.465088, 0.534912, 0.000000
2296, 6.500000, 629.195681, 0.465332, 0.534668, 0.000000
2297, 6.500000, 629.195681, 0.465576, 0.534424, 0.000000
2298, 6.500000, 629.195681, 0.465820, 0.534180, 0.000000
2299, 6.500000, 629.195681, 0.466553, 0.533447, 0.000244
2300, 6.500000, 629.195681, 0.466797, 0.533203, 0.000244
2301, 6.500000, 629.195681, 0.895508, 0.104492, 0.060303
2302, 6.500000, 629.195681, 0.895752, 0.104248, 0.060303
2303, 6.500000, 629.195681, 0.895752, 0.104248, 0.060547
2304, 6.500000, 629.195681, 0.895996, 0.104004, 0.060547
2305, 6.500000, 629.195681, 0.999756, -0.000244, 0.060791
2306, 6.500000, 629.195681, 0.999756, -0.000244, 0.060547
2307, 6.500000, 629.195681, 0.895996, 0.104004, 0.060547
2308, 6.500000, 629.195681, 0.895752, 0.104248, 0.060547
2309, 6.500000, 629.195681, 0.895752, 0.104248, 0.060303
2310, 6.500000, 629.195681, 0.895508, 0.104492, 0.060303
2311, 6.500000, 629.195681, 0.466797, 0.533203, 0.000244
2312, 6.500000, 629.195681, 0.466553, 0.533447, 0.000244
2313, 6.500000, 629.195681, 0.465820, 0.534180, -0.000000
2314, 6.500000, 629.195681, 0.465576, 0.534424, -0.000000
2315, 6.500000, 629.195681, 0.465332, 0.534668, -0.000000
2316, 6.500000, 629.195681, 0.465088, 0.534912, -0.000000
2317, 6.500000, 629.195681, 0.464844, 0.535156, -0.000000
2318, 6.500000, 629.195681, 0.464600, 0.535400, -0.000000
2319, 6.500000, 629.195681, 0.464355, 0.535645, -0.000000
2320, 6.500000, 629.195681, 0.464111, 0.535889, -0.000000
2321, 6.500000, 629.195681, 0.082031, 0.917969, -0.068115
2322, 6.500000, 629.195681, 0.081787, 0.918213, -0.068115
2323, 6.500000, 629.195681, 0.081787, 0.918213, -0.068359
2324, 6.500000, 629.195681, 0.081543, 0.918457, -0.068359
2325, 6.600000, 630.213112, -0.000244, 0.999756, -0.072266
2326, 6.600000, 630.213112, -0.000244, 0.999756, -0.072021
2327, 6.600000, 630.213112, 0.086426, 0.913574, -0.068115
2328, 6.600000, 630.213112, 0.086670, 0.913330, -0.068115
2329, 6.600000, 630.213112, 0.086670, 0.913330, -0.067871
2330, 6.600000, 630.213112, 0.086914, 0.913086, -0.067871
2331, 6.600000, 630.213112, 0.464111, 0.535889, 0.000000
2332, 6.600000, 630.213112, 0.464355, 0.535645, 0.000000
2333, 6.600000, 630.213112, 0.464600, 0.535400, 0.000000
2334, 6.600000, 630.213112, 0.464844, 0.535156, 0.000000
2335, 6.600000, 630.213112, 0.465088, 0.534912, 0.000000
2336, 6.600000, 630.213112, 0.465332, 0.534668, 0.000000
2337, 6.600000, 630.213112, 0.465576, 0.534424, 0.000000
2338, 6.600000, 630.213112, 0.465820, 0.534180, 0.000000
2339, 6.600000, 630.213112, 0.466553, 0.533447, 0.000244
2340, 6.600000, 630.213112, 0.466797, 0.533203, 0.000244
2341, 6.600000, 630.213112, 0.889893, 0.110107, 0.060059
2342, 6.600000, 630.213112, 0.890137, 0.109863, 0.060059
2343, 6.600000, 630.213112, 0.890137, 0.109863, 0.060303
2344, 6.600000, 630.213112, 0.890381, 0.109619, 0.060303
2345, 6.600000, 630.213112, 0.890625, 0.109375, 0.060303
2346, 6.600000, 630.213112, 0.999756, -0.000244, 0.060303
2347, 6.600000, 630.213112, 0.890625, 0.109375, 0.060303
2348, 6.600000, 630.213112, 0.890381, 0.109619, 0.060303
2349, 6.600000, 630.213112, 0.890137, 0.109863, 0.060303
2350, 6.600000, 630.213112, 0.999756, -0.000244, 0.060059
2351, 6.600000, 630.213112, 0.890137, 0.109863, 0.060059
2352, 6.600000, 630.213112, 0.889893, 0.110107, 0.060059
2353, 6.600000, 630.213112, 0.466797, 0.533203, 0.000244
2354, 6.600000, 630.213112, 0.466553, 0.533447, 0.000244
2355, 6.600000, 630.213112, 0.465820, 0.534180, -0.000000
2356, 6.600000, 630.213112, 0.465576, 0.534424, -0.000000
2357, 6.600000, 630.213112, 0.465332, 0.534668, -0.000000
2358, 6.600000, 630.213112, 0.465088, 0.534912, -0.000000
2359, 6.600000, 630.213112, 0.464844, 0.535156, -0.000000
2360, 6.600000, 630.213112, 0.464600, 0.535400, -0.000000
2361, 6.600000, 630.213112, 0.464355, 0.535645, -0.000000
2362, 6.600000, 630.213112, 0.464111, 0.535889, -0.000000
2363, 6.600000, 630.213112, 0.086914, 0.913086, -0.067871
2364, 6.600000, 630.213112, 0.086670, 0.913330, -0.067871
2365, 6.600000, 630.213112, 0.086670, 0.913330, -0.068115
2366, 6.600000, 630.213112, 0.086426, 0.913574, -0.068115
2367, 6.700000, 631.201744, -0.000244, 0.999756, -0.072266
2368, 6.700000, 631.201744, -0.000244, 0.999756, -0.072021
2369, 6.700000, 631.201744, 0.091064, 0.908936, -0.068115
2370, 6.700000, 631.201744, 0.091309, 0.908691, -0.067871
2371, 6.700000, 631.201744, 0.091553, 0.908447, -0.067871
2372, 6.700000, 631.201744, 0.091553, 0.908447, -0.067627
2373, 6.700000, 631.201744, 0.091797, 0.908203, -0.067627
2374, 6.700000, 631.201744, 0.464111, 0.535889, 0.000000
2375, 6.700000, 631.201744, 0.464355, 0.535645, 0.000000
2376, 6.700000, 631.201744, 0.464600, 0.535400, 0.000000
2377, 6.700000, 631.201744, 0.464844, 0.535156, 0.000000
2378, 6.700000, 631.201744, 0.465088, 0.534912, 0.000000
2379, 6.700000, 631.201744, 0.465332, 0.534668, 0.000000
