Solution #, n, T, alpha, beta, l_0
86, 1.300000, 410.711161, 0.464355, 0.535645, -0.000244
87, 1.300000, 410.711161, 0.464600, 0.535400, -0.000244
88, 1.300000, 410.711161, 0.464844, 0.535156, -0.000244
89, 1.300000, 410.711161, 0.946777, -0.053223, 0.114014
90, 1.300000, 410.711161, 0.947021, -0.052979, 0.113770
91, 1.300000, 410.711161, 0.947021, -0.052979, 0.113525
92, 1.300000, 410.711161, 0.464844, 0.535156, -0.000244
93, 1.300000, 410.711161, 0.464600, 0.535400, -0.000244
94, 1.300000, 410.711161, 0.464355, 0.535645, -0.000244
95, 1.300000, 410.711161, 0.463379, 0.536621, -0.000488
96, 1.300000, 410.711161, 0.463135, 0.536865, -0.000488
97, 1.300000, 410.711161, 0.462891, 0.537109, -0.000488
98, 1.300000, 410.711161, 0.462646, 0.537354, -0.000488
99, 1.300000, 410.711161, 0.462402, 0.537598, -0.000488
100, 1.300000, 410.711161, 0.462158, 0.537842, -0.000488
101, 1.300000, 410.711161, 0.461914, 0.538086, -0.000488
102, 1.300000, 410.711161, 0.461670, 0.538330, -0.000488
103, 1.300000, 410.711161, 0.461426, 0.538574, -0.000488
104, 1.300000, 410.711161, 0.461182, 0.538818, -0.000488
105, 1.300000, 410.711161, 0.462158, 0.537842, -0.000732
106, 1.300000, 410.711161, 0.461914, 0.538086, -0.000732
107, 1.300000, 410.711161, 0.461670, 0.538330, -0.000732
108, 1.300000, 410.711161, 0.461426, 0.538574, -0.000732
109, 1.300000, 410.711161, 0.461182, 0.538818, -0.000732
110, 1.300000, 410.711161, 0.460938, 0.539062, -0.000732
111, 1.300000, 410.711161, 0.460693, 0.539307, -0.000732
112, 1.300000, 410.711161, 0.460449, 0.539551, -0.000732
113, 1.300000, 410.711161, 0.460205, 0.539795, -0.000732
114, 1.300000, 410.711161, 0.459961, 0.540039, -0.000732
115, 1.400000, 426.654779, -0.052002, 0.947998, -0.106689
116, 1.400000, 426.654779, -0.051758, 0.948242, -0.106445
117, 1.400000, 426.654779, 0.460938, 0.539062, -0.000488
118, 1.400000, 426.654779, 0.461182, 0.538818, -0.000488
119, 1.400000, 426.654779, 0.461426, 0.538574, -0.000488
120, 1.400000, 426.654779, 0.461670, 0.538330, -0.000488
121, 1.400000, 426.654779, 0.461914, 0.538086, -0.000488
122, 1.400000, 426.654779, 0.462158, 0.537842, -0.000488
123, 1.400000, 426.654779, 0.462402, 0.537598, -0.000488
124, 1.400000, 426.654779, 0.462646, 0.537354, -0.000488
